x_value,total_1,total_2
0,1000,1000
1,995,1002
2,996,998
3,1004,997
4,998,999
5,999,1003
6,993,1001
7,991,998
8,996,993
9,994,991
10,995,997
11,994,993
12,1001,992
13,1009,992
14,1008,993
15,1007,999
16,1009,1003
17,1006,998
18,1013,997
19,1015,994
20,1014,998
21,1019,996
22,1025,994
23,1020,995
24,1016,999
25,1022,1002
26,1022,997
27,1021,1001
28,1016,998
29,1022,994
30,1028,992
31,1030,998
32,1026,1004
33,1021,1005
34,1017,1006
35,1022,1002
36,1020,1003
37,1015,1002
38,1022,1002
39,1019,1003
40,1026,1005
41,1024,1002
42,1028,1007
43,1022,1005
44,1030,1005
45,1038,1001
46,1042,996
47,1040,996
48,1046,995
49,1051,992
50,1051,987
51,1046,992
52,1041,995
53,1047,997
54,1046,995
55,1047,999
56,1041,994
57,1040,1000
58,1041,1005
59,1046,1004
60,1040,1002
61,1038,1005
62,1035,1002
63,1037,1002
64,1032,1007
65,1030,1005
66,1032,1000
67,1038,995
68,1041,1000
69,1045,1000
70,1053,997
71,1061,994
72,1065,1000
73,1069,1006
74,1072,1012
75,1079,1015
76,1073,1011
77,1078,1006
78,1080,1002
79,1077,998
80,1073,1001
81,1074,1001
82,1082,1003
83,1076,1005
84,1081,1002
85,1078,1007
86,1073,1003
87,1073,999
88,1081,1001
89,1085,996
90,1082,995
91,1082,1000
92,1085,1003
93,1081,1009
94,1076,1013
95,1070,1009
96,1077,1010
97,1079,1006
98,1076,1007
99,1081,1008
100,1079,1009
101,1081,1015
102,1079,1015
103,1087,1020
104,1088,1022
105,1089,1018
106,1088,1020
107,1096,1018
108,1100,1016
109,1104,1021
110,1101,1023
111,1108,1027
112,1104,1022
113,1107,1028
114,1115,1031
115,1121,1032
116,1129,1035
117,1137,1032
118,1140,1034
119,1137,1030
120,1135,1036
121,1139,1036
122,1142,1035
123,1148,1040
